Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator
43,0,Travel Rarely,704,HR,10,3,Technical Degree,2,Male,96,2,3,HR Manager,2,Single,23810552,10000,2,No,1.41,3,2,1,10,2,2,10.9,0.5,0.3,5.4,0.025,0.042,0.168,0.451
22,0,Non-Travel,128,Sales,30,5,Medical,3,Male,22,3,2,Regional Director,2,Married,18028223,2214,1,Yes,2.15,3,2,0,7,6,2,6.9,2.1,0.0,6.9,0.002,0.259,0.732,0.874
24,0,Non-Travel,506,Finance,1,5,Life Sciences,2,Male,70,4,1,Financial Manager,1,Single,22242097,10000,3,Yes,1.17,3,2,2,13,0,3,2.1,2.1,1.6,2.1,0.514,0.676,0.0,0.676
50,0,Non-Travel,434,Sales,7,3,Medical,3,Male,58,1,2,VP Sales,3,Married,11787597,9035,3,No,2.16,3,2,2,0,5,2,1.0,1.0,0.5,0.9,0.232,0.488,2.559,0.44
38,0,Travel Rarely,391,HR,3,1,Business,3,Male,57,1,2,HR Specialist,2,Married,20956636,8810,1,No,3.98,3,3,1,10,2,4,2.3,1.6,0.1,0.9,0.019,0.464,0.18,0.263
22,0,Travel Rarely,1176,R&D,11,3,Technical Degree,3,Female,149,3,4,Research Lead,2,Single,25000000,10000,2,Yes,1.06,4,2,0,12,1,2,7.1,3.4,0.0,2.2,0.002,0.417,0.076,0.264
34,0,Non-Travel,197,R&D,24,3,Life Sciences,4,Female,29,3,3,Product Manager,4,Single,23269732,4140,2,No,0.0,3,4,3,10,3,3,2.6,2.6,0.7,2.6,0.209,0.72,0.264,0.72
33,0,Non-Travel,452,HR,8,3,Other,3,Female,62,1,2,HR Director,3,Single,25000000,9318,1,No,3.49,3,4,1,14,4,4,9.5,3.3,1.3,0.8,0.12,0.316,0.263,0.075
24,0,Non-Travel,419,R&D,4,2,Life Sciences,1,Male,39,3,2,Technical Architect,3,Divorced,25000000,8846,1,No,0.63,2,1,1,23,1,1,7.3,1.1,0.1,0.9,0.017,0.128,0.041,0.107
39,0,Non-Travel,844,Operations,18,2,Business,2,Male,110,2,2,Operations Manager,3,Single,25000000,10000,1,No,2.32,2,4,3,21,0,2,1.3,1.3,0.8,1.3,0.347,0.565,0.0,0.565
49,0,Travel Rarely,498,Operations,30,3,Other,1,Male,70,3,1,Operations Manager,1,Single,25000000,10000,3,No,0.11,2,4,1,22,2,2,3.3,3.3,0.0,0.5,0.005,0.765,0.086,0.117
32,0,Travel Rarely,325,Finance,29,4,Technical Degree,2,Female,40,2,2,Financial Manager,3,Divorced,2500000,6313,4,No,4.04,1,2,1,0,3,2,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
43,0,Travel Rarely,1169,R&D,6,3,Technical Degree,3,Female,150,3,1,Software Engineer,4,Married,25000000,10000,1,No,2.17,4,4,3,11,4,1,7.9,4.5,0.4,7.9,0.047,0.505,0.323,0.888
50,0,Travel Frequently,1127,Operations,16,4,Other,3,Female,150,1,2,VP Operations,4,Single,12240160,10000,5,Yes,2.49,2,2,0,6,2,3,4.8,1.3,0.1,0.5,0.01,0.224,0.27,0.086
29,0,Non-Travel,205,HR,13,2,Technical Degree,3,Male,23,2,2,Recruiter,3,Married,16125756,4176,2,Yes,2.3,2,2,1,10,5,2,1.8,1.8,1.3,1.8,0.456,0.637,0.443,0.637
31,0,Travel Frequently,1196,Finance,25,5,Business,3,Male,150,2,2,Controller,4,Single,14935499,10000,1,Yes,1.91,3,3,1,4,5,3,4.1,2.6,0.1,4.1,0.016,0.515,0.98,0.804
42,0,Travel Rarely,281,R&D,19,3,Technical Degree,3,Male,42,4,1,Research Lead,3,Single,20475358,6003,2,Yes,3.35,3,4,1,11,2,1,0.5,0.5,0.0,0.5,0.0,0.333,0.162,0.333
29,0,Non-Travel,669,Operations,1,4,Life Sciences,1,Female,93,3,1,Director of Ops,3,Single,25000000,10000,1,No,3.55,4,3,2,23,4,2,1.4,1.4,0.9,1.4,0.384,0.59,0.161,0.59
65,0,Non-Travel,364,R&D,12,2,Business,2,Male,52,1,2,Technical Architect,4,Married,14018494,7689,1,No,1.04,3,2,0,3,2,2,3.2,3.2,1.4,0.8,0.335,0.761,0.478,0.182
61,0,Travel Frequently,216,Finance,10,5,Medical,1,Female,31,3,1,Financial Manager,3,Single,16154473,4438,2,No,0.0,3,3,0,6,1,1,7.0,3.7,2.1,2.2,0.265,0.469,0.125,0.269
27,0,Travel Frequently,166,Finance,9,3,Life Sciences,3,Male,24,1,2,Controller,4,Married,22806965,2739,1,No,1.51,3,2,2,11,1,1,0.8,0.8,0.3,0.8,0.175,0.45,0.077,0.45
46,0,Non-Travel,138,R&D,17,2,Technical Degree,2,Female,22,3,4,Technical Architect,3,Divorced,25000000,2788,1,Yes,4.64,3,2,1,14,1,2,3.9,0.6,0.1,1.7,0.02,0.127,0.065,0.34
48,0,Non-Travel,435,R&D,10,3,Technical Degree,1,Male,57,3,3,Data Scientist,2,Single,10879011,9398,1,Yes,2.97,2,3,1,2,2,3,3.0,0.5,0.3,3.0,0.084,0.126,0.505,0.748
34,0,Non-Travel,742,R&D,4,3,Life Sciences,3,Male,82,4,1,Product Manager,3,Single,16482657,10000,1,No,0.56,4,2,0,2,5,2,2.3,2.3,0.8,1.2,0.238,0.698,1.508,0.366
38,0,Travel Frequently,1202,Sales,7,3,Other,4,Female,150,2,3,Regional Director,2,Single,25000000,10000,1,Yes,2.26,4,3,2,32,2,2,0.5,0.5,0.0,0.5,0.0,0.333,0.061,0.333
45,0,Travel Frequently,1107,HR,6,3,Life Sciences,2,Female,148,2,4,HR Specialist,3,Single,19916494,10000,1,No,2.35,3,3,2,4,1,3,4.1,1.2,0.2,0.8,0.035,0.238,0.197,0.152
43,0,Travel Rarely,855,HR,1,2,Other,4,Female,110,1,1,Chief People Officer,3,Married,9166666,10000,2,No,5.21,3,3,1,0,3,2,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
46,0,Non-Travel,1186,HR,15,1,Other,2,Female,150,3,2,HR Director,3,Married,11573239,10000,2,No,1.57,3,2,3,0,7,3,0.7,0.7,0.2,0.7,0.138,0.425,4.023,0.425
41,0,Travel Rarely,500,Sales,25,3,Technical Degree,4,Female,80,4,2,Regional Director,2,Married,24793412,10000,1,No,5.23,2,2,2,18,3,3,10.5,5.3,0.4,4.5,0.034,0.465,0.15,0.389
32,0,Travel Frequently,1188,Sales,12,4,Other,2,Female,150,2,3,Account Manager,2,Divorced,12916666,10000,2,Yes,3.16,3,3,1,0,4,3,0.0,0.0,-0.5,0.0,-0.5,0.0,4.0,0.0
44,0,Travel Rarely,1214,HR,7,2,Business,1,Female,144,3,1,HR Manager,1,Single,20220079,10000,2,Yes,0.38,3,3,0,11,4,3,5.4,2.7,0.3,4.4,0.054,0.424,0.332,0.688
35,0,Non-Travel,523,Sales,12,4,Life Sciences,2,Male,56,3,4,Account Manager,3,Single,10833333,10000,2,No,2.43,2,2,1,0,3,1,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
22,0,Travel Rarely,760,R&D,4,3,Other,1,Male,93,3,2,Technical Architect,4,Divorced,25000000,10000,1,No,3.6,4,4,3,22,4,4,8.0,2.9,0.2,0.5,0.019,0.318,0.171,0.055
22,0,Travel Frequently,206,R&D,4,2,Life Sciences,4,Female,29,3,5,Technical Architect,4,Married,25000000,4170,1,No,1.44,4,3,0,10,4,1,0.8,0.8,0.1,0.8,0.046,0.444,0.362,0.444
55,0,Non-Travel,611,Operations,2,4,Other,4,Female,84,4,3,VP Operations,1,Single,20350696,10000,1,No,0.4,3,4,0,7,1,3,4.6,0.5,0.4,0.9,0.066,0.089,0.119,0.165
37,0,Travel Frequently,134,HR,7,3,Medical,2,Female,20,4,2,HR Manager,2,Single,25000000,3026,2,No,1.14,3,2,2,22,3,1,5.0,5.0,0.5,0.5,0.078,0.833,0.127,0.086
28,0,Non-Travel,457,Finance,4,3,Medical,3,Male,63,1,4,Financial Manager,2,Married,22913189,9971,4,Yes,3.79,3,4,0,7,0,4,0.5,0.5,0.0,0.5,0.0,0.333,0.0,0.333
22,0,Non-Travel,1107,HR,2,4,Other,4,Female,150,4,2,Recruiter,1,Divorced,24240022,10000,2,Yes,3.85,4,3,2,8,2,2,8.4,0.5,0.1,8.4,0.007,0.055,0.213,0.894
42,0,Non-Travel,520,R&D,7,3,Business,1,Female,53,3,3,Product Manager,1,Divorced,25000000,10000,1,Yes,1.69,3,4,0,17,1,3,12.2,5.6,1.2,3.0,0.092,0.424,0.054,0.224
29,0,Travel Rarely,142,Operations,1,2,Technical Degree,3,Female,24,1,1,Director of Ops,3,Single,23230642,2911,3,No,3.06,3,3,0,14,1,2,8.3,8.3,0.3,2.1,0.03,0.892,0.066,0.223
54,0,Travel Rarely,563,Sales,28,1,Life Sciences,4,Female,73,4,4,Regional Director,1,Single,25000000,10000,5,No,1.26,3,3,2,19,2,2,16.4,4.9,0.2,5.1,0.013,0.279,0.098,0.29
36,0,Travel Frequently,386,Finance,6,2,Life Sciences,1,Male,51,3,3,Controller,3,Married,25000000,8299,2,No,2.17,4,2,1,21,3,3,5.9,2.1,0.5,2.2,0.069,0.304,0.136,0.312
40,0,Travel Rarely,448,Operations,1,3,Business,2,Male,49,1,2,Operations Specialist,2,Single,10833333,9142,4,No,2.32,3,4,0,0,2,3,0.0,0.0,-0.5,0.0,-0.5,0.0,2.0,0.0
43,0,Travel Rarely,602,Operations,10,2,Business,2,Female,78,3,4,Director of Ops,1,Single,25000000,10000,1,No,3.66,3,1,1,17,1,1,3.5,2.3,0.0,3.5,0.008,0.512,0.054,0.78
22,0,Travel Frequently,719,Finance,5,3,Other,4,Male,93,3,1,Senior Analyst,2,Married,25000000,10000,4,No,3.3,3,2,2,16,0,4,7.3,0.6,0.2,0.5,0.024,0.075,0.0,0.061
34,0,Non-Travel,107,Sales,9,2,Medical,3,Female,20,3,5,VP Sales,4,Single,25000000,1825,1,No,3.62,4,2,1,0,3,3,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
30,0,Non-Travel,252,Sales,1,3,Medical,1,Female,23,3,2,Account Manager,4,Married,12248614,5344,2,No,2.18,3,2,2,1,4,1,1.4,1.4,0.9,1.4,0.379,0.586,1.656,0.586
42,0,Non-Travel,860,Operations,10,3,Technical Degree,2,Female,104,3,3,Process Engineer,3,Single,25000000,10000,2,No,4.17,3,4,0,13,3,1,2.2,1.5,1.7,2.2,0.537,0.473,0.208,0.691
53,0,Non-Travel,529,R&D,2,2,Medical,3,Male,70,2,3,Data Scientist,4,Married,25000000,10000,1,No,1.22,3,2,0,15,3,1,1.6,1.6,1.1,1.6,0.428,0.619,0.183,0.619
22,0,Travel Rarely,318,R&D,6,3,Life Sciences,2,Female,33,2,4,Technical Architect,2,Divorced,25000000,6711,1,No,3.94,3,2,2,15,0,1,2.5,0.5,0.0,2.5,0.007,0.144,0.0,0.712
46,0,Travel Frequently,643,Sales,7,1,Business,1,Female,75,4,1,Sales Executive,4,Divorced,25000000,10000,2,Yes,3.54,3,2,0,27,2,2,19.0,0.6,0.0,1.6,0.001,0.028,0.07,0.083
